Registration Date,Matching Fields,收货人,收货人所在国家,Consignee Full Address,Consignee Profile,Consignee Trade Roles,发货人,Shipper Full Address,Shipper Email 1,Shipper Phone 1,Shipper Website 1,Shipper Profile,发货人贸易角色,Origin Country,HS Code (Original Format),hs_2,HTS 海关编码,Goods Shipped,Item Quantity,Item Quantity Unit,重量 (公斤),价值 (美金)
2020-10-27,HS Code (2-digit),Vale Indonesia,Indonesia,"LANTAI 31, Jl. Jend. Sudirman No.11a, RT.1/RW.3, Kuningan, Senayan, Kec. Kby. Baru, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10270, Indonesia",https://panjiva.com/Vale-Indonesia/86469638,,Halcon Primo Logistics Pte,TRAKINDO UTAMA 6 TOH GUAN ROAD EAS,,,,https://panjiva.com/Halcon-Primo-Logistics-Pte/86644250,Logistics,United States,7216.99,72.0,72169900,"EQUAL ANGLE 5 x 5 x 5/16, ASTM A36, 20' 4506482427-003",1.0,PCE,18.9073,691.81
2020-10-27,Goods Shipped,Egamekinka Pratama,Indonesia,"BLOK B NO 7, Jl. Pangeran Jayakarta No.141, RT.9/RW.10, Mangga Dua Sel., Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10730, Indonesia",https://panjiva.com/Egamekinka-Pratama/86447977,,Chesterton International,"Groveland, MA 01834, USA",,,,https://panjiva.com/Chesterton-International/86671381,,United States,8413.91,84.0,84139190,442-72 SPK RSC/RSC S EP PUMP PARTS: OTHER 319282,2.0,EA,8.62,19431.2
2020-10-27,HS Code (2-digit),Eta Indonesia,Indonesia,"Jl. Berbek Industri III No.5, Berbek Industri, Berbek, Kec. Waru, Kabupaten Sidoarjo, Jawa Timur 61256, Indonesia",https://panjiva.com/Eta-Indonesia/86448582,,Engineered Materials Solutions,"39 Perry Avenue, Attleboro, MA 02703, USA",jroy@emsclad.com,+1 508 342 2100,,https://panjiva.com/Engineered-Materials-Solutions/5570262,,United States,7220.9,72.0,72209010,"BIM.P850R-TM8 0,203MM X 15MM GES.",48.0,KGM,47.63,4384.2
2020-10-27,HS Code (2-digit),Halliburton Indonesia,Indonesia,"taman tekno BSD, Kademangan, Kec. Setu, Kota Tangerang Selatan, Banten 15314, Indonesia",https://panjiva.com/Halliburton-Indonesia/86442600,Manufacturer,Hallibrton Worldwide Ltd.,BLDG NO 353 WAY NO 5003 GALAN BLDG PO BOX 2721 AL,,,,https://panjiva.com/Hallibrton-Worldwide-Ltd/86644190,,United States,7221.0,72.0,72210000,"PISTON,ACTUATOR, TOT# 9905-2861XB",1.0,EA,4.35,1960.58
2020-10-27,HS Code (2-digit),Rf Hightek Indonesia,Indonesia,"Jl. Pangeran Hidayatullah No.17, Sawah Gede, Kec. Cianjur, Kabupaten Cianjur, Jawa Barat 43212, Indonesia",https://panjiva.com/Rf-Hightek-Indonesia/86461966,,Mini Circuits,"2450 Knapp St, Brooklyn, NY 11235, USA",,,,https://panjiva.com/Mini-Circuits/86784806,,United States,7217.2,72.0,72172091,CORE NO CC B.136X.077 4.3KROHS,20000.0,PCE,0.0,1343.34
2020-10-27,Goods Shipped,Firmenich Indonesia,Indonesia,"Jl. Alternatif Cibubur, Cileungsi, Kec. Cileungsi, Bogor, Jawa Barat, Indonesia",https://panjiva.com/Firmenich-Indonesia/86446858,,Firmenich,"3919 Kidron Rd, Lakeland, FL 33811, USA",,,,https://panjiva.com/Firmenich/86805543,,United States,3301.12,33.0,33011200,955430 - LEMONENE 1 X DIST FAB (BAHAN BAKU PEMBUATAN AROMATIK) CAS NO  68647-72-3,8850.0,KGM,8850.0,52941.6
2020-10-27,HS Code (2-digit),Rf Hightek Indonesia,Indonesia,"Jl. Pangeran Hidayatullah No.17, Sawah Gede, Kec. Cianjur, Kabupaten Cianjur, Jawa Barat 43212, Indonesia",https://panjiva.com/Rf-Hightek-Indonesia/86461966,,Mini Circuits,"2450 Knapp St, Brooklyn, NY 11235, USA",,,,https://panjiva.com/Mini-Circuits/86784806,,United States,7217.2,72.0,72172091,CORE NOCC.072SQ.047HT 10K ROHS,345000.0,PCE,0.0,10256.75
2020-10-27,HS Code (2-digit),Rf Hightek Indonesia,Indonesia,"Jl. Pangeran Hidayatullah No.17, Sawah Gede, Kec. Cianjur, Kabupaten Cianjur, Jawa Barat 43212, Indonesia",https://panjiva.com/Rf-Hightek-Indonesia/86461966,,Mini Circuits,"2450 Knapp St, Brooklyn, NY 11235, USA",,,,https://panjiva.com/Mini-Circuits/86784806,,United States,7217.2,72.0,72172091,CORE NO CC R .138X.07X.08 10K,34775.0,PCE,0.0,1799.67
2020-10-27,HS Code (2-digit),Rf Hightek Indonesia,Indonesia,"Jl. Pangeran Hidayatullah No.17, Sawah Gede, Kec. Cianjur, Kabupaten Cianjur, Jawa Barat 43212, Indonesia",https://panjiva.com/Rf-Hightek-Indonesia/86461966,,Mini Circuits,"2450 Knapp St, Brooklyn, NY 11235, USA",,,,https://panjiva.com/Mini-Circuits/86784806,,United States,7217.2,72.0,72172091,CORE NO CC .048THK .0085K ROHS,20000.0,PCE,0.0,876.48
2020-10-27,HS Code (2-digit),Rf Hightek Indonesia,Indonesia,"Jl. Pangeran Hidayatullah No.17, Sawah Gede, Kec. Cianjur, Kabupaten Cianjur, Jawa Barat 43212, Indonesia",https://panjiva.com/Rf-Hightek-Indonesia/86461966,,Mini Circuits,"2450 Knapp St, Brooklyn, NY 11235, USA",,,,https://panjiva.com/Mini-Circuits/86784806,,United States,7217.2,72.0,72172091,CORE RED B .081X.031 7.5K ROHS,200000.0,PCE,0.0,8148.14
2020-10-27,HS Code (2-digit),Rf Hightek Indonesia,Indonesia,"Jl. Pangeran Hidayatullah No.17, Sawah Gede, Kec. Cianjur, Kabupaten Cianjur, Jawa Barat 43212, Indonesia",https://panjiva.com/Rf-Hightek-Indonesia/86461966,,Mini Circuits,"2450 Knapp St, Brooklyn, NY 11235, USA",,,,https://panjiva.com/Mini-Circuits/86784806,,United States,7217.2,72.0,72172091,CORE.096X.08X.04 10K1.5-4UROHS,60000.0,PCE,0.0,2279.28
2020-10-26,HS Code (2-digit),Samudera Steel Indonesia,Indonesia,"Jl. Raya Bekasi Km.21 RT.03 RW. 03, Spbu Coco 31-13902, RT.3/RW.3, Rawa Terate, Jakarta, East Jakarta City, Indonesia 13920, Indonesia",https://panjiva.com/Samudera-Steel-Indonesia/86464944,,Aim International,"12 Roszel Rd STE A205, Princeton, NJ 08540, USA",,,,https://panjiva.com/Aim-International/89656005,,United States,7204.49,72.0,72044900,STEEL SCRAP (SHRED 211) -,495.03,TNE,495030.0,141083.55
2020-10-26,HS Code (2-digit),Power Steel Mandiri Sanex Steel Indonesia,Indonesia,"Budi Mulya, Cikupa, Tangerang, Banten 15710, Indonesia",https://panjiva.com/Power-Steel-Mandiri-Sanex-Steel-Indonesia/86449577,,Global Metcorp Llc,"300 Wood Ave, Iselin, NJ 08830, USA",,,,https://panjiva.com/Global-Metcorp-Llc/89656031,,United States,7204.49,72.0,72044900,SHREDDED STEEL SCRAP AS PER ISRI 211,608.0,TNE,607794.0,177475.85
2020-10-26,HS Code (2-digit),Power Steel Mandiri Sanex Steel Indonesia,Indonesia,"Budi Mulya, Cikupa, Tangerang, Banten 15710, Indonesia",https://panjiva.com/Power-Steel-Mandiri-Sanex-Steel-Indonesia/86449577,,Eagle Trans Shipping Logistics Llc,"1701 NW 31st Ave, Fort Lauderdale, FL 33311, USA",,,,https://panjiva.com/Eagle-Trans-Shipping-Logistics-Llc/90212049,Logistics,United States,7204.49,72.0,72044900,SHREDDED STEEL SCRAP,497.0,TNE,496960.0,138154.88
2020-10-26,HS Code (2-digit),Indo Baja Dayatama,Indonesia,"Jl. Raya Kebantenan No.24, RT.001RW003/RW.3, Semper Tim., Kec. Cilincing, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14130, Indonesia",https://panjiva.com/Indo-Baja-Dayatama/86444921,,Gold Star Metals,"15911 Wood Dr, Channelview, TX 77530, USA",,,,https://panjiva.com/Gold-Star-Metals/90219650,,United States,7204.49,72.0,72044900,PLATE AND STRUCTURAL STEEL SCRAP,230.271,TNE,230271.0,66778.59
2020-10-26,HS Code (2-digit),Power Steel Mandiri Sanex Steel Indonesia,Indonesia,"Budi Mulya, Cikupa, Tangerang, Banten 15710, Indonesia",https://panjiva.com/Power-Steel-Mandiri-Sanex-Steel-Indonesia/86449577,,Eagle Trans Shipping Logistics Llc,"1701 NW 31st Ave, Fort Lauderdale, FL 33311, USA",,,,https://panjiva.com/Eagle-Trans-Shipping-Logistics-Llc/90212049,Logistics,United States,7204.49,72.0,72044900,SHREDDED STEEL SCRAP,151.0,TNE,151084.0,42001.35
2020-10-26,Goods Shipped,Ctec Intertrade Indonesia,Indonesia,"Jl. Hayam Wuruk No.127, RW.6, Mangga Besar, Kec. Taman Sari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11180, Indonesia",https://panjiva.com/Ctec-Intertrade-Indonesia/86450721,Trading Company,Asgco Mfg.,302 GORDON STREET BLDG 3 ALLENTOWN PA 18102,,,,https://panjiva.com/Asgco-Mfg/91517189,Manufacturer,United States,8431.39,84.0,84313990,"CONVEYOR PARTS : 10"" HEIGHT X 72"" WIDE CERAMIC LAGGING 10""",4.0,EA,90.5009,2317.52
2020-10-26,HS Code (2-digit),Vita Prodana Mandiri,Indonesia,"kp curug dulang desa, Leuwilimus, Kec. Cikande, Serang, Banten 42186, Indonesia",https://panjiva.com/Vita-Prodana-Mandiri/86470083,,Sealink International As Nvocc For American Iron,874 WALKER ROAD SUITE C DOVER DELAWARE 19904 USA,,,,https://panjiva.com/Sealink-International-As-Nvocc-For-American-Iron/91510744,,United States,7204.49,72.0,72044900,SHREDDED STEEL SCRAP 211,637.0,TNE,636518.0,176952.0
2020-10-26,HS Code (2-digit),Power Steel Mandiri Sanex Steel Indonesia,Indonesia,"Budi Mulya, Cikupa, Tangerang, Banten 15710, Indonesia",https://panjiva.com/Power-Steel-Mandiri-Sanex-Steel-Indonesia/86449577,,Global Metcorp Llc,"300 Wood Ave, Iselin, NJ 08830, USA",,,,https://panjiva.com/Global-Metcorp-Llc/89656031,,United States,7204.49,72.0,72044900,SHREDDED STEEL SCRAP AS PER ISRI 211,259.0,TNE,259203.0,75687.27
2020-10-26,Goods Shipped,Berca Niaga Medika,Indonesia,"Jalan Abdul Muis No.62 RT.4/RW.3 Petojo Selatan Gambir 3 3, RT.3/RW.3, Petojo Sel., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10160, Indonesia",https://panjiva.com/Berca-Niaga-Medika/86455957,,Agilent Technologies Singapore,ACCOUNTS RECEIVABLE NO 1 YISHUN AVENUE 7 SINGAPORE,,,,https://panjiva.com/Agilent-Technologies-Singapore/86648046,Wholesale,United States,7017.2,70.0,70172000,"ACC FOR AGILENT 7890B GC,VIAL KIT 40ML,PRECLEAN 72 VIALS + CAP +SPTM BAIK",1.0,ST,0.83,137.7
2020-10-26,HS Code (2-digit),Voith Paper Rolls Indonesia,Indonesia,"Margakaya, West Telukjambe, Karawang Regency, West Java 41361, Indonesia",https://panjiva.com/Voith-Paper-Rolls-Indonesia/86470405,Manufacturer,Oerlikon Metco Singapore Pte,SINGAPORE 508913 SG 508913 SG,,,,https://panjiva.com/Oerlikon-Metco-Singapore-Pte/91512224,,United States,7223.0,72.0,72230090,METCOLOY 2 14GA 25LB (PR),200.0,LBR,69.4989,1343.41
2020-10-26,HS Code (2-digit),Power Steel Mandiri Sanex Steel Indonesia,Indonesia,"Budi Mulya, Cikupa, Tangerang, Banten 15710, Indonesia",https://panjiva.com/Power-Steel-Mandiri-Sanex-Steel-Indonesia/86449577,,Global Metcorp Llc,"300 Wood Ave, Iselin, NJ 08830, USA",,,,https://panjiva.com/Global-Metcorp-Llc/89656031,,United States,7204.49,72.0,72044900,SHREDDED STEEL SCRAP AS PER ISRI 211,524.0,TNE,524190.0,160402.14
2020-10-26,HS Code (2-digit),Samudera Steel Indonesia,Indonesia,"Jl. Raya Bekasi Km.21 RT.03 RW. 03, Spbu Coco 31-13902, RT.3/RW.3, Rawa Terate, Jakarta, East Jakarta City, Indonesia 13920, Indonesia",https://panjiva.com/Samudera-Steel-Indonesia/86464944,,Aim International,"12 Roszel Rd STE A205, Princeton, NJ 08540, USA",,,,https://panjiva.com/Aim-International/89656005,,United States,7204.49,72.0,72044900,STEEL SCRAP (SHRED 211) -,48.149,TNE,48149.0,13722.47
2020-10-26,HS Code (2-digit),Vita Prodana Mandiri,Indonesia,"kp curug dulang desa, Leuwilimus, Kec. Cikande, Serang, Banten 42186, Indonesia",https://panjiva.com/Vita-Prodana-Mandiri/86470083,,Sealink International As Nvocc For American Iron,874 WALKER ROAD SUITE C DOVER DELAWARE 19904 USA,,,,https://panjiva.com/Sealink-International-As-Nvocc-For-American-Iron/91510744,,United States,7204.49,72.0,72044900,SHREDDED STEEL SCRAP 211,426.0,TNE,426160.0,118472.48
2020-10-26,Goods Shipped,Formulatrix Indonesia,Indonesia,"Jl. Jagalan Jl. Sukarno Hatta No.95, RT.01/RW.05, Cebongan, Kec. Argomulyo, Kota Salatiga, Jawa Tengah 50736, Indonesia",https://panjiva.com/Formulatrix-Indonesia/86439493,,Bedford Supply,"10 Deangelo Dr, Bedford, MA 01730, USA",,,,https://panjiva.com/Bedford-Supply/86647417,Wholesale,United States,9026.8,90.0,90268020,BOTTOM SEAL 3M 72 YARDS LENG TH 3.125 INCH WIDTH -,28.0,EA,44.9,8489.71
2020-10-26,Goods Shipped,Halliburton Logging Services Indonesia,Indonesia,"taman tekno BSD, Kademangan, Kec. Setu, Kota Tangerang Selatan, Banten 15314, Indonesia",https://panjiva.com/Halliburton-Logging-Services-Indonesia/86439865,Manufacturer,Halliburton Energy Services,"3000 N Sam Houston Pkwy E #5A, Houston, TX 77032, USA",,,,https://panjiva.com/Halliburton-Energy-Services/86644788,,United States,6303.91,63.0,63039100,"ASSY,CURT 270 OH HES 207 X 72 WHT WITH T , 9505754526 5034460925",3.0,EA,22.9413,4785.56
2020-10-22,Goods Shipped,Bali Widya Dirgantara,Indonesia,"36, Jl. Tahi Bonar Simatupang No.11, RT.2/RW.1, Cilandak Tim., Kec. Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12560, Indonesia",https://panjiva.com/Bali-Widya-Dirgantara/86454789,,Yingling Aviation,"2010 S Airport Rd, Wichita, KS 67209, USA",,,,https://panjiva.com/Yingling-Aviation/86782454,,United States,8803.3,88.0,88033000,0513109-72 REINFORCE -,1.0,PCE,0.5255,498.94
2020-10-22,Goods Shipped,Firmenich Indonesia,Indonesia,"Jl. Alternatif Cibubur, Cileungsi, Kec. Cileungsi, Bogor, Jawa Barat, Indonesia",https://panjiva.com/Firmenich-Indonesia/86446858,,Firmenich Inc. Ftz 49 H,"4330 Drane Field Road, Lakeland, FL 33811, USA",stephanie.pickerill@danisco.com,+1 863 646 0165,,https://panjiva.com/Firmenich-Inc-Ftz-49-H/10354459,,United States,2912.19,29.0,29121900,938948 - DIMETHYLHEPTENAL NAT K (BAHAN BAKU PEMBUATAN AROMATIK) CAS NO 106-72-9,2.0,KGM,2.0,3189.38
2020-10-22,Goods Shipped,Vision Teknik,Indonesia,"Jl. Letjen S. Parman No.6, RT.12/RW.6, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470, Indonesia",https://panjiva.com/Vision-Teknik/86469680,,Lighthouse Worldwide Solutions,"1221 Disk Dr, Medford, OR 97501, USA",,+1 541 770 5905,,https://panjiva.com/Lighthouse-Worldwide-Solutions/8014623,,United States,7017.1,70.0,70171010,"HMI 90707-01 TOC SAMPLE VIALS, 40 ML 72/CS",5.0,EA,1.9888,151.95
2020-10-22,HS Code (2-digit),Abb Sakti Industri,,WORLD TRADE CENTER 3 LANTAI 24 25 DAN 26 JL JEND SUDIRMAN 2931 RT RW 008 003 KARET SETIABUED,https://panjiva.com/Abb-Sakti-Industri/86456485,,Abb Motors Mechanical,"139 Cox Ave, Crossville, TN 38555, USA",,,,https://panjiva.com/Abb-Motors-Mechanical/86649454,,United States,7205.1,72.0,72051000,FLOW CHARGE FOR NO 9 FLDYN #PO: 3162087144,3.0,EA,4.26,643.48
2020-10-21,HS Code (2-digit),Indo Baja Dayatama,Indonesia,"Jl. Raya Kebantenan No.24, RT.001RW003/RW.3, Semper Tim., Kec. Cilincing, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14130, Indonesia",https://panjiva.com/Indo-Baja-Dayatama/86444921,,Advanced Steel Recovery,"14451 WHITTRAM AVE. FONTANA, CA - 92335 FONTANA CALIFORNIA 92335",,+1 909 355 2372,,https://panjiva.com/Advanced-Steel-Recovery/4720670,,United States,7204.49,72.0,72044900,PLATE AND STRUCTURAL STEEL SCRAP,498.969,TNE,498969.0,132226.79
2020-10-21,HS Code (2-digit),Indo Baja Dayatama,Indonesia,"Jl. Raya Kebantenan No.24, RT.001RW003/RW.3, Semper Tim., Kec. Cilincing, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14130, Indonesia",https://panjiva.com/Indo-Baja-Dayatama/86444921,,Advanced Steel Recovery,"14451 WHITTRAM AVE. FONTANA, CA - 92335 FONTANA CALIFORNIA 92335",,+1 909 355 2372,,https://panjiva.com/Advanced-Steel-Recovery/4720670,,United States,7204.49,72.0,72044900,BUSHELING STEEL SCRAP,494.343,TNE,494343.0,138416.04
2020-10-21,HS Code (2-digit),Indo Baja Dayatama,Indonesia,"Jl. Raya Kebantenan No.24, RT.001RW003/RW.3, Semper Tim., Kec. Cilincing, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14130, Indonesia",https://panjiva.com/Indo-Baja-Dayatama/86444921,,Advanced Steel Recovery,"14451 WHITTRAM AVE. FONTANA, CA - 92335 FONTANA CALIFORNIA 92335",,+1 909 355 2372,,https://panjiva.com/Advanced-Steel-Recovery/4720670,,United States,7204.49,72.0,72044900,PLATE AND STRUCTURAL STEEL SCRAP,496.038,TNE,496038.0,138890.64
2020-10-21,HS Code (2-digit),Indo Baja Dayatama,Indonesia,"Jl. Raya Kebantenan No.24, RT.001RW003/RW.3, Semper Tim., Kec. Cilincing, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14130, Indonesia",https://panjiva.com/Indo-Baja-Dayatama/86444921,,Advanced Steel Recovery,"14451 WHITTRAM AVE. FONTANA, CA - 92335 FONTANA CALIFORNIA 92335",,+1 909 355 2372,,https://panjiva.com/Advanced-Steel-Recovery/4720670,,United States,7204.49,72.0,72044900,PLATE AND STRUCTURAL STEEL SCRAP,498.337,TNE,498337.0,137042.68
2020-10-21,HS Code (2-digit),Ssab Swedish Steel Indonesia,Indonesia,"5, Jl. TB Simatupang No.5, RT.5/RW.7, Ragunan, Kec. Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12550, Indonesia",https://panjiva.com/Ssab-Swedish-Steel-Indonesia/90209492,,Ssab Swedish Steel Pte,NO 23 NEYTHAL ROAD BLK P 0302 SINGAPORE 628588,,,,https://panjiva.com/Ssab-Swedish-Steel-Pte/91511066,,United States,7225.4,72.0,72254090,"WEAR RESISTANCE PLATE HARDOX 500 20MM*2500MM*6000MM, 5PCS BAIK BARU",11.775,TNE,11775.0,20665.13
2020-10-21,Goods Shipped,Eagleburgmann Indonesia,Indonesia,"Kawasan Industri EJIP Plot 3A, Jl. Cisokan 1, Sukaresmi, Cikarang Sel., Bekasi, Jawa Barat 17530, Indonesia",https://panjiva.com/Eagleburgmann-Indonesia/86446955,,Eagleburgmann Germany Gmb H Kg,AEUSS SAUERLACHER STR 610 DE82515 WOLFRATSHAUSEN,,,,https://panjiva.com/Eagleburgmann-Germany-GmbH-Kg/86666439,Manufacturer,United States,4016.93,40.0,40169310,"ART FOR MECHANICAL SEAL, SE01 O-RING P/N. 1000203641, 72.62X3.53 -",2.0,PCE,1.459,77.91
2020-10-21,HS Code (2-digit),Ssab Swedish Steel Indonesia,Indonesia,"5, Jl. TB Simatupang No.5, RT.5/RW.7, Ragunan, Kec. Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12550, Indonesia",https://panjiva.com/Ssab-Swedish-Steel-Indonesia/90209492,,Ssab Swedish Steel Pte,NO 23 NEYTHAL ROAD BLK P 0302 SINGAPORE 628588,,,,https://panjiva.com/Ssab-Swedish-Steel-Pte/91511066,,United States,7225.4,72.0,72254090,WEAR RESISTANCE PLATE HARDOX 450 10MM*2500MM*6000MM 21PCS BAIK BARU,24.738,TNE,24738.0,33198.4
2020-10-21,HS Code (2-digit),Ssab Swedish Steel Indonesia,Indonesia,"5, Jl. TB Simatupang No.5, RT.5/RW.7, Ragunan, Kec. Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12550, Indonesia",https://panjiva.com/Ssab-Swedish-Steel-Indonesia/90209492,,Ssab Swedish Steel Pte,NO 23 NEYTHAL ROAD BLK P 0302 SINGAPORE 628588,,,,https://panjiva.com/Ssab-Swedish-Steel-Pte/91511066,,United States,7225.4,72.0,72254090,"WEAR RESISTANCE PLATE HARDOX 450 20MM*2500MM*6000MM, 3PCS BAIK BARU",7.065,TNE,7065.0,9481.23
2020-10-20,Goods Shipped,Fortuna Healthcare,Indonesia,"Jl. Sulaiman No.7, RT.10/RW.3, Sukabumi Utara, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11540, Indonesia",https://panjiva.com/Fortuna-Healthcare/86440935,,Coopersurgical Fertility Genomic,ORIGIO A S KNARDRUPVEJ 2 DK2760 MALOV,,,,https://panjiva.com/Coopersurgical-Fertility-Genomic/86672948,,United States,9018.9,90.0,90189090,RI EZ-SQUEEZE TM 170UM  ITEM NO.7-72-3170/20,6.0,PCE,5.6101,961.56
